DENOMINACION,TIPOVIA,PARTICULA,NOMBREVIA,DISTRITO,X,Y,GRADOACCESIBILIDAD,LINEAS
AV.ALBUFERA-AV.MIGUEL HERNANDEZ,Avda,de la,Albufera,13.0,446016.0,4471025.0,T,"54, 58, 103, 142, 143, N25"
AV.ALBUFERA-INSTITUTO TIRSO MOLINA,Avda,de la,Albufera,13.0,444873.0,4471603.0,T,"58, 103, 143"
AV.ALBUFERA-PAYASO FOFO,Avda,de la,Albufera,13.0,444277.0,4471728.0,T,"54, 58, 103, 136, N10, N25"
AV.ALBUFERA-SIERRA CARBONERA,Avda,de la,Albufera,13.0,443807.0,4472059.0,T,"54, 57, 58, 136, N10, N25"
Pº STA.Mª DE LA CABEZA-MARIBLANCA,Paseo,de,Santa María de la Cabeza,11.0,439978.0,4471686.0,T,"55, 60, N17"
GRAL.RICARDOS-PUERTA BONITA,Calle,del,General Ricardos,11.0,437797.0,4471158.0,T,"34, 35, N17"
ALHAMBRA-GTA.LOS CARMENES,Calle,de la,Alhambra,10.0,437008.0,4472164.0,T,"55, 119"
NTRA.SRA.VALVANERA-TORTOLA,Avda,de,Nuestra Señora de Valvanera,11.0,437600.0,4471573.0,T,"55, N16"
Pº STA.Mª CABEZA-BALEARES,Calle,de,Manuel Noya,12.0,439688.0,4471463.0,T,"55, 60, E1, N17"
ETRURIA-TROYA,Calle,de,Etruria,20.0,448255.0,4476543.0,T,"48, 140, N5"
AV.CANILLEJAS-POBLADURA VALLE,Avda,de,Canillejas a Vicálvaro,20.0,448246.0,4475551.0,T,"48, 167, N6"
JOSE DEL HIERRO-MANDARINA,Calle,de,José del Hierro,15.0,445456.0,4477016.0,T,"48, 146"
AV.DONOSTIARRA-PZA.JOSE BANUS,Avda,de,Donostiarra,15.0,444444.0,4476425.0,T,"21, 48"
SAN CIPRIANO-CAÑOS DE SAN PEDRO,Calle,de,San Cipriano,19.0,449031.0,4472959.0,T,"4, 106, N7"
GALEON-BERGANTIN,Calle,del,Galeón,21.0,450738.0,4479020.0,T,114
JUAN I.LUCA TENA-JARDIN BOTANICO,Calle,de,Juan Ignacio Luca de Tena,20.0,446670.0,4477881.0,T,"114, 146, N4"
TELEMACO-INST.NAC.ESTADISTICA,Calle,de,Telémaco,20.0,445721.0,4477853.0,T,"114, N4"
ANGELITA CAVERO-GRAL.ARANAZ,Calle,de,Angelita Cavero,15.0,445260.0,4477819.0,T,"114, N4"
AV.AMERICA-PARQUE AVENIDAS,Avda,de,América,5.0,443702.0,4477373.0,T,"114, 115, N4"
DR.GARCIA TAPIA-FTE.CARRANTONA,Avda,del,Doctor García Tapia,14.0,446592.0,4473366.0,T,30
AV.AMERICA-PQUE.CONDE ORGAZ,Avda,de,América,16.0,445812.0,4478010.0,T,115
ANTONIO LEYVA-MARQUES VADILLO,Calle,de,Antonio de Leyva,11.0,439384.0,4472273.0,T,"116, SE832"
ANTONIO LEYVA-CONDES BARCELONA,Calle,de,Antonio de Leyva,11.0,439392.0,4472069.0,T,116
BARROS-RONDA SUR,Calle,de los,Barros,13.0,443689.0,4469612.0,T,"102, 103"
RONDA SUR-BARROS,Ronda,de los,Sur,13.0,443640.0,4469604.0,T,102
Pº MARCELINO CAMACHO-LAGUNA,Paseo,de,Muñoz Grandes,11.0,437111.0,4471152.0,T,"35, N17"
AREQUIPA-TREFACIO,Calle,de,Arequipa,16.0,446354.0,4480161.0,T,"104, 171, T11"
RIBERA DEL LOIRA Nº 16-18,Calle,de la,Ribera del Loira,21.0,447164.0,4479900.0,T,104
AV.CONSEJO EUROPA-RIBERA LOIRA,Avda,del,Consejo de Europa,21.0,447819.0,4479123.0,T,"104, 112, 122"
AV.LOS ANDES-AV.MACHUPICHU,Avda,de los,Andes,16.0,447351.0,4478633.0,T,"104, 112, 122"
FRAGATA-MATILDE HERNANDEZ,Calle,de la,Fragata,11.0,437840.0,4471918.0,T,119
ZAIDA-FRAGATA,Calle,de,Zaida,11.0,437641.0,4471923.0,T,119
NTRA.SRA.FATIMA-MONS.OSCAR ROMERO,Avda,de,Nuestra Señora de Fátima,11.0,436650.0,4470714.0,T,"35, N17"
MQUES.VALDAVIA-RONDA ATOCHA,Calle,del,Marqués de la Valdavia,2.0,441055.0,4473321.0,T,"36, 41, 119"
Pº IMPERIAL-GTA.PIRAMIDES,Paseo,del,Imperial,2.0,439445.0,4472788.0,T,"36, 62"
Pº IMPERIAL-Pº PONTONES,Paseo,del,Imperial,2.0,439371.0,4473063.0,T,"36, 62"
Pº. VIRGEN DEL PUERTO-FOSFORO,Paseo,de la,Virgen del Puerto,2.0,438916.0,4473878.0,T,"36, 50, 62"
Pº EXTREMADURA Nº 190,Paseo,de,Extremadura,10.0,436947.0,4473514.0,T,"36, 39, 65, N19"
Pº EXTREMADURA-VILLAMANIN,Paseo,de,Extremadura,10.0,436628.0,4473360.0,T,"36, 39, 65, N19"
Pº EXTREMADURA-CAMPAMENTO,Paseo,de,Extremadura,10.0,434910.0,4472268.0,T,"36, 39, N19"
Pº EXTREMADURA-SESEÑA,Paseo,de,Extremadura,10.0,435292.0,4472605.0,T,"36, 39"
Pº EXTREMADURA-BATAN,Paseo,de,Extremadura,10.0,436331.0,4473187.0,T,"36, 39, N19"
JUAN DUQUE-PIZARRA,Calle,de,Juan Duque,2.0,439050.0,4473726.0,T,"36, 50"
Pº MELANCOLICOS-MARMOL,Paseo,de los,Melancólicos,2.0,438958.0,4473161.0,T,"36, 50, 62"
BRAVO MURILLO-JOSE ABASCAL,Calle,de,Bravo Murillo,7.0,440369.0,4476829.0,T,"37, 149, N23"
FCO.DE ROJAS-SAGASTA,Calle,de,Francisco de Rojas,7.0,440765.0,4475791.0,T,40
GRAL.RICARDOS-Pº MARCELINO CAMACHO,Calle,del,General Ricardos,11.0,437334.0,4470905.0,T,34
VALDEBERNARDO-LUIS HOYOS SAINZ,Calle,de,Valdebernardo,14.0,446524.0,4472886.0,T,32
LUIS HOYOS SAINZ-FTE.CARRANTONA,Calle,de,Luis de Hoyos Sáinz,14.0,446252.0,4472981.0,T,32
AV.MORATALAZ-PICO ARTILLEROS,Avda,de,Moratalaz,14.0,445659.0,4473635.0,T,32
AV.MORATALAZ Nº189-COLEGIO SENARA,Avda,de,Moratalaz,14.0,445552.0,4473576.0,T,32
ESTRELLA POLAR-CRUZ DEL SUR,Calle,de la,Estrella Polar,3.0,443448.0,4473705.0,T,32
AV.BURGOS Nº30,Avda,de,Burgos,5.0,442830.0,4481418.0,T,"129, 150, 174"
BAMBU-YUCA,Calle,del,Bambú,5.0,442784.0,4481088.0,T,"129, 150, 174"
AVDA.BURGOS-AVDA.PIO XII,Avda,de,Burgos,5.0,442810.0,4480598.0,T,"129, 174"
Pº. CASTELLANA-HOSPITAL LA PAZ,Paseo,de la,Castellana,5.0,442029.0,4481516.0,T,"173, 174, 176"
AVDA.MANOTERAS-AVDA.BURGOS,Avda,de,Manoteras,16.0,443149.0,4482452.0,T,174
OÑA-AV.MANOTERAS,Calle,de,Oña,16.0,443346.0,4482436.0,T,174
OÑA Nº111,Calle,de,Oña,16.0,443983.0,4482505.0,T,174
DR.MARTIN AREVALO-PZA.AGATA,Calle,del,Doctor Martín Arévalo,17.0,439966.0,4466630.0,T,"22, 130"
CTRA.VILLAVERDE A VALLECAS-VILLAFUERTE,Calle,de,San Macario,17.0,441431.0,4467338.0,T,"23, 123, 130"
CTRA. VILLAVERDE A VALLECAS-AV.ROSALES,Ctra,de,Villaverde a Vallecas,17.0,442145.0,4468161.0,T,"23, 130"
Cº HORMIGUERAS-TORRE DE DON MIGUEL,Cmno,de las,Hormigueras,18.0,445338.0,4469684.0,T,"130, T31"
SAN JAIME-AV.ALBUFERA,Calle,de,San Jaime,18.0,446989.0,4470398.0,T,"130, N9, T31"
AV.DEMOCRACIA-AV.MEDITERRANEO,Avda,de la,Democracia,13.0,447269.0,4471332.0,T,130
JOSE PRAT-AV.DEMOCRACIA,Bulv,de,José Prat,19.0,447553.0,4472233.0,T,"71, 130"
CALAHORRA-GALLO,Calle,de,Calahorra,19.0,447934.0,4473183.0,T,"100, 130"
JOSE PRAT-AV.DEMOCRACIA,Bulv,de,José Prat,19.0,447662.0,4472116.0,T,"71, 130"
SAN JAIME-SIERRA DE GADOR,Calle,de,San Jaime,18.0,447068.0,4470469.0,T,"130, T31"
SAN JAIME-PUERTO DE POZAZAL,Calle,de,San Jaime,18.0,446834.0,4470271.0,T,"130, T31"
Cº HORMIGUERAS-GONZALEZ DAVILA,Cmno,de las,Hormigueras,18.0,445912.0,4469880.0,T,"130, T31"
STO.ANGEL DE LA GUARDA-ARCINIEGA,Avda,de,Santo Ángel de la Guarda,9.0,439634.0,4479583.0,T,"126, 127, 132, N21"
Cº HORMIGUERAS-CASAS DE MIRAVETE,Cmno,de las,Hormigueras,18.0,445625.0,4469790.0,T,"130, T31"
TANATORIO SUR,Avda,de los,Poblados,11.0,438813.0,4469672.0,T,"116, 121, 131, 155"
AV.POBLADOS-RAFAELA YBARRA,Avda,de los,Poblados,12.0,439587.0,4469669.0,T,"116, 121, 131"
ALMAGRO-Pº EDUARDO DATO,Calle,de,Almagro,7.0,441442.0,4476198.0,T,7
AV.PUERTA DE HIERRO-FILOSOFIA B,Avda,de,Puerta de Hierro,9.0,437709.0,4478020.0,T,"83, 133, 162"
FACULTAD DE VETERINARIA,Avda,de,Puerta de Hierro,9.0,437598.0,4478114.0,T,"83, 133, 162"
AV.C.HERRERA ORIA-FUENTEMILANOS,Avda,del,Cardenal Herrera Oria,8.0,436950.0,4480997.0,T,"83, 133"
AV.C.HERRERA ORIA-ARROYOFRESNO,Calle,de,Arroyofresno,8.0,437238.0,4481116.0,T,"83, 133"
AV.C.HERRERA ORIA-ENRIQUE LEYRA,Avda,del,Cardenal Herrera Oria,8.0,437998.0,4481129.0,T,"83, 133"
MONFORTE DE LEMOS-AV.BETANZOS,Avda,de,Monforte de Lemos,8.0,439802.0,4481238.0,T,"49, 83, 128, 132, 137, N22"
MONFORTE DE LEMOS-JUNTA MUNICIPAL,Avda,de,Monforte de Lemos,8.0,440046.0,4481302.0,T,"49, 83, 128, 132, 137, N22"
MONFORTE DE LEMOS-LA VAGUADA,Avda,de,Monforte de Lemos,8.0,440359.0,4481384.0,T,"49, 83, 128, 132, 137, N22"
PEDRO RICO-FINISTERRE,Calle,de,Pedro Rico,8.0,440611.0,4481765.0,T,"83, 132"
A.LOPEZ AGUADO-ARZOBISPO MORCILLO,Calle,de,Antonio López Aguado,8.0,440826.0,4481809.0,T,"83, 132, N22"
FINISTERRE-MONFORTE DE LEMOS,Calle,de,Finisterre,8.0,440526.0,4481502.0,T,"83, 132, N22"
AV.BETANZOS-Pº DE LA VAGUADA,Avda,de,Betanzos,8.0,439710.0,4481402.0,T,83
AV.C.HERRERA ORIA-ENRIQUE LEYRA,Cmno,de,Fuencarral,8.0,437990.0,4481151.0,T,"83, 133, N20"
AV.C.HERRERA ORIA-NAVALUENGA,Avda,del,Cardenal Herrera Oria,8.0,436872.0,4480986.0,T,"83, 133"
ARROYO POZUELO-ACEBUCHE,Calle,del,Arroyo de Pozuelo,9.0,434902.0,4478370.0,T,160
GTA.MARIA REINA,Gta,de,María Reina,9.0,433391.0,4479247.0,T,"160, N28"
AV.OSA MAYOR-PLEYADES,Avda,de la,Osa Mayor,9.0,433593.0,4479218.0,T,"160, N28"
FERNANDO ORTIZ-AV.ORCASUR,Calle,de,Fernando Ortiz,12.0,440514.0,4468936.0,T,"78, 116"
SALVADOR MARTINEZ-E.BARREIROS,Calle,de,Salvador Martínez,12.0,440866.0,4468943.0,T,"78, 116"
MARCELO USERA-FERROVIARIOS,Calle,de,Marcelo Usera,12.0,440229.0,4471039.0,T,"47, 247, N15"
AV.ABRANTES-PELICANO,Avda,de,Abrantes,11.0,438503.0,4470709.0,T,"47, 108"
AV.ABRANTES-CARRERO JUAN RAMON,Avda,de,Abrantes,11.0,437945.0,4470137.0,T,"47, 108"
"CARCASTILLO, FRENTE Nº27",Calle,de,Carcastillo,11.0,437500.0,4470155.0,T,"47, 108, 118, N16"
PZA.NAVARROS-ALISEDA,Plaza,de los,Navarros,11.0,437062.0,4469754.0,T,108
ARROYO MEDIA LEGUA-DR.Gª TAPIA,Calle,del,Arroyo de la Media Legua,14.0,444638.0,4473966.0,T,113
ARROYO MEDIA LEGUA-Cº VINATEROS,Calle,del,Arroyo de la Media Legua,14.0,444504.0,4473783.0,T,113
JUAN I. LUCA DE TENA Nº14,Calle,de,Juan Ignacio Luca de Tena,20.0,446515.0,4477850.0,T,"114, 146, N4"
GUTIERRE DE CETINA Nº 14,Calle,de,Gutierre de Cetina,15.0,445466.0,4476291.0,T,109
FCO.LARGO CABALLERO-ARRIAGA,Avda,de,Daroca,15.0,445833.0,4475185.0,T,"106, N7"
AVDA.DAROCA-CEMENTERIO ALMUDENA,Avda,de,Daroca,15.0,445485.0,4475414.0,T,"106, N7"
AV.DAROCA-SANTA PRISCA,Avda,de,Daroca,15.0,445140.0,4475631.0,T,"106, N7"
Pº. ERMITA DEL SANTO-AV.MANZANARES,Paseo,de la,Ermita del Santo,10.0,438712.0,4473691.0,T,25
Pº. ERMITA DEL SANTO-VÍA CARPETANA,Paseo,de la,Ermita del Santo,10.0,438618.0,4473259.0,T,25
GALLUR-VIA CARPETANA,Calle,de,Gallur,10.0,437714.0,4472449.0,T,25
GALLUR FRENTE Nº 425,Calle,de,Gallur,10.0,437140.0,4472254.0,T,25
DUQUESA DE PARCENT - GTA. LOS CARMEN,Calle,de la,Duquesa de Parcent,10.0,436873.0,4472095.0,T,"25, 31, N18"
DUQUESA DE PARCENT-CUART DE POBLET,Calle,de la,Duquesa de Parcent,10.0,436326.0,4472186.0,T,"25, 31, N18"
SESEÑA-ILLESCAS,Calle,de,Seseña,10.0,435168.0,4472314.0,T,25
SESEÑA,Calle,de,Seseña,10.0,435149.0,4472310.0,T,25
AV.CAMILO JOSE CELA-AV.GUINDALERA,Avda,de,La Guindalera,4.0,443593.0,4477152.0,T,"43, 122"
Pº ALBERTO PALACIOS-Pº FERROVIARIOS,Paseo,de,Alberto Palacios,17.0,439270.0,4466316.0,T,22
Pº ALBERTO PALACIOS-ALADIERNA,Paseo,de,Alberto Palacios,17.0,439682.0,4466616.0,T,"22, 79"
ALCOCER-LITOS,Calle,de,Alcocer,17.0,440592.0,4467008.0,T,"22, 86, 130, N14"
ALCOCER-VIRGEN DESAMPARADOS,Calle,de,Alcocer,17.0,440884.0,4467050.0,T,"18, 22, 116, 130"
VERBENA DE LA PALOMA-LA CHULAPONA,Avda,de,La Verbena de la Paloma,17.0,441080.0,4468207.0,T,"18, 86, N14"
AV.ANDALUCIA-AV.LOS ROSALES,Avda,de,Andalucía,12.0,441186.0,4469064.0,T,"18, 22, 59, 79, 85, 86, N13, N14"
AVDA.ANDALUCIA-MEZQUITA,Avda,de,Andalucía,12.0,441144.0,4469570.0,T,"18, 22, 59, 76, 79, 85, 86, N13, N14, N15"
Pº YESERIAS-PQUE.ARGANZUELA,Paseo,de,Yeserías,2.0,440041.0,4472388.0,T,"18, N12"
Pº YESERIAS-Pº ACACIAS,Paseo,de,Yeserías,2.0,439580.0,4472673.0,T,18
ALFONSO XII-PTA.DE ALCALA,Calle,de,Alfonso XII,3.0,441662.0,4474707.0,T,"19, N2, N3, N8"
ALFONSO XII-ESPALTER,Calle,de,Alfonso XII,3.0,441656.0,4473975.0,T,19
Pº. INFANTA ISABEL-MUSEO ANTROPOLÓGICO,Paseo,de la,Infanta Isabel,3.0,441603.0,4473458.0,T,"C1, N10, N25, N9"
FRENTE N. 20,Calle,de,Alfonso XII,3.0,441669.0,4474475.0,T,19
AV.MENENDEZ PELAYO-A.SAINZ BARANDA,Avda,de,Menéndez Pelayo,3.0,442543.0,4474494.0,T,"20, 26, 63, 152, C1"
HOSPITAL NIÑO JESUS,Avda,de,Menéndez Pelayo,3.0,442616.0,4474215.0,T,"20, 26, 63, 152, C1"
LOS ASTROS-CRUZ DEL SUR,Calle,de los,Astros,3.0,443323.0,4473824.0,T,"20, 30, 32, N8"
ESTRELLA POLAR-PEZ AUSTRAL,Calle,de la,Estrella Polar,3.0,443625.0,4473804.0,T,"20, 30, 32, N8"
Cº VINATEROS-M30,Calle,del,Camino de los Vinateros,14.0,444132.0,4473748.0,T,"20, 30, 32, N8"
HACIENDA PAVONES-PZA.ENCUENTRO,Calle,de la,Hacienda de Pavones,14.0,444878.0,4473154.0,T,"20, 30, 100, N8"
HACIENDA PAVONES-ALONSO TOBAR,Calle,de la,Hacienda de Pavones,14.0,445072.0,4473038.0,T,"20, 30, 100, N8"
HACIENDA DE PAVONES-CAÑADA,Calle,de la,Hacienda de Pavones,14.0,445061.0,4472923.0,T,"20, 30, 100, N8"
PRINCIPE DE VERGARA-AUDITORIO NACIONAL,Calle,del,Príncipe de Vergara,5.0,442618.0,4477798.0,T,"29, 52"
PASEO CASTELLANA-AZCA,Calle,de los,Hermanos Pinzón,5.0,441535.0,4478053.0,T,"27, 40, 126, 147, 150, N22, N24"
TORRELAGUNA-AV.BADAJOZ,Calle,de,Torrelaguna,15.0,444667.0,4477319.0,T,"53, 122"
LOPEZ DE HOYOS-CTRA.CANILLAS,Calle,de,López de Hoyos,16.0,444366.0,4479607.0,T,"9, 72, N2"
CTA.SAN VICENTE-ARRIAZA,Custa,de,San Vicente,9.0,439354.0,4474877.0,T,"25, 39, 46, 62, 75, 138, C2"
VIRGEN DEL PUERTO-GTA.SAN VICENTE,Paseo,de la,Virgen del Puerto,1.0,439004.0,4474759.0,T,"33, 41"
VIRGEN DEL PUERTO-PTE.SEGOVIA,Paseo,de la,Virgen del Puerto,1.0,438936.0,4474207.0,T,"25, 33, 39, 138, N18, N19"
SESEÑA-ILLESCAS,Calle,de,Seseña,10.0,435123.0,4472270.0,T,121
ILLESCAS-SESEÑA,Calle,de,Illescas,10.0,435124.0,4472292.0,T,121
ILLESCAS Nº103,Calle,de,Illescas,10.0,435416.0,4471971.0,T,"25, 121"
PAYASO FOFO-AV.ALBUFERA,Calle,del,Payaso Fofó,13.0,444134.0,4471714.0,T,103
MATEO GARCIA-AV.DAROCA,Calle,de,Mateo García,15.0,444762.0,4475851.0,T,"106, N7"
ALBA TORMES-EPOCA,Calle,de,Alba de Tormes,11.0,436931.0,4470099.0,T,108
ALBA TORMES-WITERICO,Calle,de,Alba de Tormes,11.0,437045.0,4470248.0,T,108
Cº VIEJO LEGANES-FALCINELO,Calle,del,Camino Viejo de Leganés,11.0,438115.0,4470632.0,T,"118, N16"
Cº VIEJO LEGANES-PELICANO,Calle,del,Camino Viejo de Leganés,11.0,438238.0,4470845.0,T,"118, 247, N16"
Cº VIEJO LEGANES-AV.OPORTO,Calle,del,Camino Viejo de Leganés,11.0,438345.0,4471072.0,T,"118, N16"
Cº VIEJO LEGANES-GRAL.RICARDOS,Calle,del,Camino Viejo de Leganés,11.0,438693.0,4471835.0,T,118
ALBERTO ALCOCER-Pº DE LA HABANA,Calle,de,Alberto Alcocer,5.0,442251.0,4479104.0,T,"11, 40"
ALBERTO ALCOCER-PADRE DAMIAN,Calle,de,Alberto Alcocer,5.0,442027.0,4479129.0,T,"11, 40"
MIGUEL ANGEL-RUBEN DARIO,Calle,de,Miguel Ángel,7.0,441463.0,4476301.0,T,"40, 147"
EDUARDO DATO-ZURBANO,Paseo,de,Eduardo Dato,7.0,441185.0,4476250.0,T,"40, 147"
LUCHANA-PZA.DE CHAMBERI,Calle,de,Luchana,7.0,440882.0,4476176.0,T,"40, 147"
FCO.DE ROJAS-LUCHANA,Calle,de,Francisco de Rojas,7.0,440729.0,4475948.0,T,40
RONDA DE SEGOVIA-GIL IMON,Ronda,de,Segovia,1.0,439414.0,4473517.0,T,C1
RONDA DE SEGOVIA-Pº IMPERIAL,Ronda,de,Segovia,1.0,439203.0,4473788.0,T,"C1, NC1"
RONDA DE SEGOVIA-SEGOVIA,Ronda,de,Segovia,1.0,439267.0,4474071.0,T,"41, C1"
RIBERA MANZANARES-SAN POL DE MAR,Calle,de la,Ribera del Manzanares,9.0,438393.0,4475380.0,T,"41, 75"
RIBERA MANZANARES-FELIPE MORATILLA,Calle,de la,Ribera del Manzanares,9.0,438088.0,4475710.0,T,"41, 75"
RIBERA MANZANARES Nº 125,Calle,de la,Ribera del Manzanares,9.0,437889.0,4475901.0,T,"41, 75"
COMANDANTE FORTEA-FELIPE MORATILLA,Paseo,del,Comandante Fortea,9.0,437964.0,4475676.0,T,"41, 75"
COMANDANTE FORTEA-STA.OLALLA,Paseo,del,Comandante Fortea,9.0,438241.0,4475402.0,T,"41, 75"
GTA.SAN ANTONIO DE LA FLORIDA,Paseo,de la,Florida,9.0,438570.0,4475356.0,T,"41, 46, 75, N20"
CDAD.PLASENCIA-VIRGEN DEL PUERTO,Paseo,de la,Ciudad de Plasencia,1.0,438988.0,4474260.0,T,"41, 62, C2, NC2"
RONDA DE SEGOVIA-PTA.TOLEDO,Ronda,de,Segovia,2.0,439643.0,4473362.0,T,"C2, NC2"
EDUARDO DATO-ZURBANO,Paseo,de,Eduardo Dato,7.0,441239.0,4476231.0,T,"40, 147"
AV.MQUES.CORBERA-AV.DAROCA,Avda,del,Marqués de Corbera,15.0,445061.0,4475686.0,T,"28, 113, N6"
CENTRO DE CARGA AEREA 2,Avda, ,Central,21.0,451085.0,4478531.0,T,114
PRINCIPE DE VERGARA-JORGE JUAN,Calle,del,Príncipe de Vergara,4.0,442407.0,4475148.0,T,"29, 52"
PRINCIPE DE VERGARA-GOYA,Calle,del,Príncipe de Vergara,4.0,442425.0,4475386.0,T,"29, 52, N2"
PRINCIPE DE VERGARA-DIEGO DE LEON,Calle,del,Príncipe de Vergara,4.0,442495.0,4476400.0,T,"29, 52, N2"
Pº CASTELLANA-NUEVOS MINISTERIOS,Paseo,de la,Castellana,7.0,441462.0,4477637.0,T,"7, 14, 40, 147, 150, N22, N24"
Pº INFANTA ISABEL-MINISTERIO AGRICULTURA,Paseo,de la,Infanta Isabel,3.0,441468.0,4473560.0,T,"1, 10, 14"
Pº PRADO-PZA.MURILLO,Paseo,del,Prado,3.0,441324.0,4474021.0,T,"1, 10, 14, 27, 34, 37, 45, C03, N10, N11, N12, N13, N14, N15, N17, N25, N26, N9"
PZA.CANOVAS DEL CASTILLO,Plaza,de,Cánovas del Castillo,3.0,441283.0,4474312.0,T,"1, 10, 14, 27, 34, 37, 45, C03, N10, N11, N12, N13, N14, N15, N17, N25, N26, N9"
MARTINEZ DE LA RIVA-ARROYO DEL OLIVAR,Calle,de,Martínez de la Riva,13.0,443555.0,4471898.0,T,"10, 24, 111, 310"
JAVIER DE MIGUEL-CARLOS MARTIN ÁLVAREZ,Calle,de,Javier de Miguel,13.0,443777.0,4471333.0,T,"103, 310, N10"
JAVIER DE MIGUEL-PTO.DEL MILAGRO,Calle,de,Javier de Miguel,13.0,444363.0,4470997.0,T,"310, N10"
JAVIER DE MIGUEL-PTO.DE VELATE,Calle,de,Javier de Miguel,13.0,444450.0,4470860.0,T,"310, N10"
AV.PABLO NERUDA-LUIS BUÑUEL,Avda,de,Pablo Neruda,13.0,445419.0,4471259.0,T,57
JAVIER DE MIGUEL-PTO.DE VELATE,Calle,de,Javier de Miguel,13.0,444466.0,4470873.0,T,310
JAVIER DE MIGUEL-SAN ANSELMO,Calle,de,Javier de Miguel,13.0,444414.0,4470974.0,T,310
JAVIER DE MIGUEL-PAYASO FOFÓ,Calle,de,Javier de Miguel,13.0,443998.0,4471241.0,T,"103, 310"
MOREJA Nº 26,Calle,de,Moreja,12.0,440831.0,4469126.0,T,"78, 116"
AV.GUADALAJARA-SAN ROMAN VALLE,Avda,de,Guadalajara,20.0,447486.0,4474713.0,T,"106, 140, 159, N7"
VILLALOBOS-AV.MIGUEL HERNANDEZ,Calle,de,Villalobos,13.0,444870.0,4470484.0,T,"10, 310"
Cº POZO TIO RAIMUNDO-CTRA.V.VALLECAS,Cmno,del,Pozo del Tío Raimundo,18.0,445310.0,4469267.0,T,130
AV.BUENOS AIRES-MOGAMBO,Avda,de,Buenos Aires,13.0,444704.0,4470283.0,T,"10, 57, N11"
VILLALOBOS,Calle,de,Villalobos,13.0,444866.0,4470467.0,T,310
CORAZON DE MARIA-STA.HORTENSIA,Calle,de,Corazón de María,5.0,443536.0,4477433.0,T,"43, 72"
AV.GUINDALERA-CAMILO JOSE CELA,Avda,de,La Guindalera,4.0,443616.0,4477089.0,T,"43, 74"
AV.BADAJOZ-MARTINEZ VILLERGAS,Avda,de,Badajoz,15.0,444623.0,4477228.0,T,"53, 122, N3"
CONDESA VENADITO-TORRELAGUNA,Calle,de la,Condesa de Venadito,15.0,444682.0,4477511.0,T,"11, N3"
EMILIO VARGAS-ARTURO SORIA,Calle,de,Emilio Vargas,15.0,444836.0,4478014.0,T,"114, 122, N4"
AV.CAMILO JOSE CELA-CORAZON MARIA,Calle,de,Corazón de María,5.0,443515.0,4477336.0,T,43
VALCARLOS - Pº SAN MILLAN DE LA COGOLLA,Calle,de,Valcarlos,8.0,443599.0,4483983.0,T,175
PLAZA DEL ESTE-SAN AQUILINO,Plaza,del,Este,6.0,441660.0,4480546.0,T,177
CAMARENA Nº 320,Calle,de,Camarena,10.0,435783.0,4471014.0,T,"31, 121, N18"
CAMARENA Nº 322,Calle,de,Camarena,10.0,435774.0,4471020.0,T,31
VALMOJADO-MAQUEDA,Pque, ,Alcalde Carlos Arias,10.0,435608.0,4471183.0,T,"121, 138"
OCAÑA-CAMARENA,Calle,de,Ocaña,10.0,435658.0,4471018.0,T,17
OCAÑA Nº12,Calle,de,Ocaña,10.0,436027.0,4470866.0,T,"17, N26"
DUQUESA DE PARCENT-CUART DE POBLET,Calle,de la,Duquesa de Parcent,10.0,436334.0,4472165.0,T,"25, 31, N18"
DUQUESA DE PARCENT Nº 54,Calle,de la,Duquesa de Parcent,10.0,436647.0,4472113.0,T,"25, 31, N18"
Pº ERMITA DEL SANTO-VIA CARPETANA,Paseo,de la,Ermita del Santo,10.0,438640.0,4473307.0,T,25
Pº ERMITA DEL SANTO-SEPULVEDA,Paseo,de la,Ermita del Santo,10.0,438682.0,4473504.0,T,25
Pº. ERMITA DEL SANTO - AV.MANZANARES,Paseo,de la,Ermita del Santo,10.0,438726.0,4473687.0,T,25
ENRIQUE LARRETA-AGUSTIN DE FOXA,Calle,de,Enrique Larreta,5.0,441903.0,4480190.0,T,5
CTA.SAN VICENTE-ARRIAZA,Custa,de,San Vicente,1.0,439382.0,4474851.0,T,"25, 39, 46, 62, 75, 138, C1"
NARVAEZ-AVDA. FELIPE II,Avda,de,Felipe II,4.0,442793.0,4475258.0,T,"26, 61, E4, E5"
CONDE DE PEÑALVER-HERMOSILLA,Calle,del,Conde de Peñalver,4.0,442803.0,4475415.0,T,"26, 61"
CONDE DE PEÑALVER-AYALA,Calle,del,Conde de Peñalver,4.0,442821.0,4475647.0,T,"26, 61, N3"
AV.MENENDEZ PELAYO-PZA.NIÑO JESUS,Paseo,del,Fernán Núñez,3.0,442713.0,4473847.0,T,"26, 63, 152, C1"
MENENDEZ PELAYO-PZA.MARIANO CAVIA,Avda,de,Menéndez Pelayo,3.0,442527.0,4473474.0,T,"26, 152, C1"
JOSE ANTONIO ARMONA-Pº STA.Mª CABEZA,Calle,de,José Antonio de Armona,2.0,440991.0,4473075.0,T,27
AV.CDAD.BARCELONA Nº 6,Avda,de la,Ciudad de Barcelona,3.0,441963.0,4473225.0,T,"24, 37, 54, 57, 141"
ANTONIO LOPEZ-GTA.MQUES.VADILLO,Calle,de,Antonio López,11.0,439454.0,4472297.0,T,"23, N15"
ANTONIO LOPEZ-INMACULADA CONCEPCION,Calle,de,Antonio López,11.0,439760.0,4472103.0,T,"23, N15"
