DENOMINACION,TIPOVIA,PARTICULA,NOMBREVIA,DISTRITO,X,Y,GRADOACCESIBILIDAD,LINEAS
SANTIAGO COMPOSTELA-NARCIS MONTURIOL,Calle,de,Santiago de Compostela,8.0,440827.0,4481962.0,T,"67, N22"
ALEJANDRO CASONA-DR.REINOSA,Calle,de,Alejandro Casona,8.0,438158.0,4481591.0,T,82
PTO.PORZUNA-FUENTIDUEÑA,Calle,del,Puerto del Porzuna,18.0,447248.0,4469715.0,T,"103, 142"
PTO.PORZUNA-CONGOSTO,Calle,del,Puerto de Porzuna,18.0,447415.0,4469882.0,T,"103, 142"
ALCALA-AV.25 DE SEPTIEMBRE,Calle,de,Alcalá,20.0,447282.0,4477220.0,T,105
DR.ESQUERDO-PZA.CONDE CASAL,Calle,del,Doctor Esquerdo,3.0,443228.0,4473238.0,T,"56, 156"
DR.ESQUERDO-SAINZ DE BARANDA,Calle,del,Doctor Esquerdo,3.0,443305.0,4474394.0,T,"30, 56, 143, 156, N8, NC1"
CEMENTERIO DE FUENCARRAL,Avda,de,Montecarmelo,8.0,440739.0,4484444.0,T,SE704
LOPEZ DE HOYOS-PADRE CLARET,Calle,de,López de Hoyos,5.0,443691.0,4478121.0,T,"9, 72, 73, N2"
Pº ERMITA DEL SANTO-PARQUE SAN ISIDRO,Paseo,de la,Ermita del Santo,11.0,437911.0,4472541.0,T,25
Pº ERMITA DEL SANTO-PARQUE SAN ISIDRO,Paseo,de la,Ermita del Santo,11.0,437942.0,4472555.0,T,25
VALLE ENMEDIO-GTA.P.CORRALILLOS,Calle,del,Valle de Enmedio,8.0,439226.0,4482409.0,T,49
VENTISQUERO CONDESA-VALLE DE ENMEDIO,Avda,del,Ventisquero de la Condesa,8.0,439391.0,4482447.0,T,49
GOLONDRINA-VELETA,Calle,de la,Golondrina,9.0,433676.0,4478846.0,T,"160, 161"
CTRA.HUMERA A ARAVACA-RIAZA,Ctra,de,Húmera,9.0,433968.0,4478953.0,T,"160, 161, N28"
GUECHO-PARADORES,Calle,de,Guecho,9.0,430022.0,4481133.0,T,162
AV.ROSALES-CORINDON,Avda,de,Los Rosales,12.0,441524.0,4468909.0,T,"23, N12"
AYACUCHO-NEVADO RUIZ,Calle,de,Ayacucho,16.0,446308.0,4480278.0,T,"104, 171, T11"
