centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;centro_titular;dat_codigo;dat_nombre;direccion_codigo_postal;municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;direccion_coor_x;direccion_coor_y;fecha_constitución
28082307;EL BOALO;42;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;4;Madrid-Oeste;28411.0;23;Boalo, El;0.0;Sin distrito;421631.0;4507513.0;2024-07-24
28082319;THE POWER FP CAJA MÁGICA;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;POWEREDUCATION, S. L.;5;Madrid-Capital;28041.0;79;Madrid;12.0;Usera;441337.0;4468778.0;2024-04-15
28082320;INSTITUTO NEBRIJA DE FORMACIÓN PROFESIONAL II;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;INSTITUTOS NEBRIJA S.A.;5;Madrid-Capital;28040.0;79;Madrid;9.0;Moncloa-Aravaca;438928.0;4477387.0;2024-04-30
28082332;CENTRO OFICIAL DE FORMACIÓN PROFESIONAL ESLA-MADRID I;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;ESLA CENTROS DE FORMACIÓN, S. L.;5;Madrid-Capital;28011.0;79;Madrid;10.0;Latina;437682.0;4473560.0;2024-04-25
28082344;ESCUELA PROFESIONAL EUROPEA;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;LA MONTEJA DREAMLAND, SL;5;Madrid-Capital;28017.0;79;Madrid;15.0;Ciudad Lineal;445351.0;4475864.0;2024-05-14
28082356;TECH HUB FP EUROFORMAC;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;INICIATIVAS EUROPEAS DE FORMACIÓN, S.L.;5;Madrid-Capital;28042.0;79;Madrid;21.0;Barajas;450706.0;4479229.0;2024-05-08
28082368;CDM ESCUELA DE FUTUROS PROFESIONALES;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;CDM ESCUELA DE FUTUROS PROFESIONALES, S.L.;2;Madrid-Sur;28922.0;7;Alcorcón;0.0;Sin distrito;427844.0;4466447.0;2024-05-09
28082371;CES JUAN PABLO II-CUATRO VIENTOS;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;CES JUAN PABLO II, S.L.;5;Madrid-Capital;28044.0;79;Madrid;10.0;Latina;441846.0;4475551.5;2024-05-14
28082381;MUSICAL MARTÍ VAM-PASTEUR;137;CAU EL MUS;CENTRO AUTORIZADO ELEMENTAL DE MÚSICA;PRIVADO;MUSICAL MARTÍ VAM, S.L.;2;Madrid-Sur;28939.0;15;Arroyomolinos;0.0;Sin distrito;421890.0;4458635.0;2024-05-22
28082393;MUSICAL MARTÍ VAM-REGGIO;421;CAU ELEM-PROF MUS;CENTRO AUTORIZADO ELEMENTAL Y PROFESIONAL DE MÚSICA;PRIVADO;MUSICAL MARTÍ VAM, S.L.;5;Madrid-Capital;28055.0;79;Madrid;10.0;Hortaleza;445973.0;4483834.0;2024-05-24
28082401;FPPRO MADRID;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;FORMIA INSTITUTO DE FORMACIÓN PROFESIONAL S.L.;5;Madrid-Capital;28017.0;79;Madrid;15.0;Ciudad Lineal;445775.0;4475581.0;2024-05-29
28082411;THP INTERNATIONAL SCHOOL (EE.UU.);94;CEXTRAN ESP;CENTRO DOCENTE EXTRANJERO EN ESPAÑA;PRIVADO;THP INTERNATIONAL INNOVATORS, S.L.;5;Madrid-Capital;28046.0;79;Madrid;5.0;Chamartín;441824.0;4480368.0;2024-06-11
28082423;HAPPY CHILDHOOD;8;EIPR;ESCUELA INFANTIL PRIVADA;PRIVADO;NURSERY SCHOOL HAPPY CHILDHOOD, S.L.;2;Madrid-Sur;28904.0;65;Getafe;0.0;Sin distrito;437428.0;4461451.0;2024-07-10
28082435;PROEDUCA FORMACIÓN PROFESIONAL III;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;PROEDUCA FORMACIÓN PROFESIONAL GLOBAL, S.L.U;2;Madrid-Sur;28983.0;106;Parla;0.0;Sin distrito;434835.0;4454186.0;2024-07-15
28082447;INSTITUTO SUPERIOR DE FP XTART DE ALCORCÓN;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;SYF GALENUS CENTER, S.L.U.;2;Madrid-Sur;28922.0;7;Alcorcón;0.0;Sin distrito;428152.0;4467009.0;2024-07-22
28082459;ESCUELA AGROFORESTAL SIERRA OESTE;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;ESCUELA AGROFORESTAL SIERRA OESTE;2;Madrid-Sur;28695.0;99;Navas del Rey;0.0;Sin distrito;394338.0;4471443.0;2024-07-22
28082460;BIG BANG SCHOOL;4;CPR INF;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;PRIVADO;HUMANO Y SOSTENIBLE, S.L;4;Madrid-Oeste;28430.0;10;Alpedrete;0.0;Sin distrito;413429.0;4498813.0;2024-10-17
28082472;MADRID SCHOOL OF MARKETING (BRITÁNICO);94;CEXTRAN ESP;CENTRO DOCENTE EXTRANJERO EN ESPAÑA;PRIVADO;MADRID SCHOOL OF MARKETING, S.L.;5;Madrid-Capital;28036.0;79;Madrid;5.0;Chamartín;442661.0;4480679.0;2024-10-10
28082484;CENTRO DE ESTUDIOS LUIS VIVES;37;CPRIEPA;CENTRO PRIVADO DE EDUCACIÓN DE PERSONAS ADULTAS;PRIVADO;CENTRO DE ESTUDIOS LUIS VIVES, S.L;5;Madrid-Capital;28008.0;79;Madrid;9.0;Moncloa-Aravaca;441846.0;4475551.5;2024-10-01
